{%⺄1} ⿹⺄
{屮穿八} ⿻屮八
{山几巳} {%中几1}山{%中几2}巳
{川中＃} ⿻{丿丨}{二交〣}
{巨中丨} {%匚1}{コ交丨}{%匚2}
{巾中⚏} ⿵巾{⚏}
{巾中⺀⺀} ⿵巾{⺀⺀}
{巾中＃} ⿻巾{＃}
{巾交＃} ⿻巾{＃先丨}
{帶上} ⿻廿儿
{干中⺿} {%干交1}⺿{%干交2}
{干中卄} {%干交1}卄{%干交2}
{广一换乛} ⿱丶{丿乛}
{廿连廿} ⿻廿{廿下}
{彖交丶} ⿱{互中}豖
{彥去彡} ⿱文厂
{心去丿} ⿺乚{丶丶}
{手交一} ⿱丿{三交亅}
{敢左} ⿱𠃍耳[G] ⿱丅耳[THJKV]
{斉中𡭔} ⿱文⿻{斉下}{小无钩}
{日交七} ⿻日七
{昜下} ⿱一勿
{更下} ⿻日乂
{書上} ⿻{反𰀂}土
{曹上} ⿻卄日
{朋J} ⿰{⺆中⺀}{⺆中⺀}
{木中吕} {%木交1}吕{%木交2}
{枾右} ⿻十{丿一丨}
{栆上} {%十交1}口{%十交2}
{横申} {%囗交1}十{%囗交2}
{止丨丨巳} {%中丨丨1}止{%中丨丨2}巳
{止丿丨巳} {%中丿丨1}止{%中丿丨2}巳
{止几匕} {%中几1}止{%中几2}匕
{止几巳} {%中几1}止{%中几2}巳
{正中一} ⿻二止
{歹V} 歹
{段左} ⿻{段左去三}三
{段左去一} ⿸{段左去三}二
{毋G} ⿻{母框}{𠂇先丿}
{毌十交卄} ⿻{毌框}{卄先丨}
{母中丿} ⿻{母框}{𠂇先丿}
{比中白} {%中白1}{比左}{%中白2}匕 {%比1}白{%比2}
{永G} ⿱丶{永下}
{永V} ⿱一{永下}
{永下} ⿻𠃌{㇇く}
{無上} ⿱𠂉{卌下一}
{熏上} ⿻{%千下交1}{柬中}{%千下交2}二
{爪㇏换乚} ⿸⺁⿰丨乚
{爲去爫} ⿵⿰丿⿳𠃍𠃍𠃌灬
{牛上} ⿰丿十
{犬交丿} ⿺⿻大丿丶 {%犮上1}乂{%犮上2}
{甬下} ⿵冂𰀁
{甲交丄} ⿻日{丄交丨}
{甲交丿一} ⿻日{卑下}
{甲交𠃊} ⿻甲𠃊
{申带丶} ⿸申丶
{畏田换丅} ⿱丅{畏下}
{畢下} ⿻龷十
{畱上} ⿻{𝍯}⿰匚{コ}
{癶又换𠂈} ⿰{亥中}{癶右}
{発下} ⿻二儿
{直K} {%𠃊1}𥃭{%𠃊2}
{直一换𠃊} {%𠃊1}⿱十{ㄇ中三}{%𠃊2}
{眞中} {%𠃊1}目{%𠃊2}
{矛去龴} ⿹𠄐丿
{祭上𱼀换𠂈} ⿰{亥中}{祭右上}
{禹去丿} ⿻口{禺下}[GHJK] ⿻口禸[T]
{立亠换二} 立
{耳下平} {%二1}{ㅒ}{%二2}
{聿带丶} ⿸聿丶
{肀穿八} ⿻肀八
{肃去肀} ⿻{丿丨}八
{臼丿换一} 臼
{臼交乚} ⿻臼乚
{舟÷换亠} ⿻{𠔾去一}亠
{舟÷换𰀁} ⿻{𠔾去一}{𰀁先丨}
{艮上} ⿱𫜹𠄌
{艮Ｋ换匕} ⿷{艮上}一
{菫下} ⿻𠮛龶
{華下G} ⿱一{畢下}
{華下T} ⿱一⿻{龷卄换⺿}十
{虎⺊换丅} ⿱丅⿸{丿乛}⿱七几
{覀下} ⿻口{丨丨}
{覀𝍯换卄} ⿻卄口
{角⺆换冂} ⿱⺈{甬下}
{讎头} 讎
{貝二换三} ⿱{囗中三}{ハ}
{转戈} 戈
{转或} 或
{转虎} 虎
{转见} 见
{转隹} 隹
{转鬼} 鬼
{转𠃛} 𠃛
{酋儿换ㅛ} ⿱丷{酉儿换ㅛ}
{里土换龶} ⿻日龶
{重去丿} ⿻𣄼{土先丨}
{重日换口} ⿻{千交口}二
{釜下} ⿱干䒑
{镸上} ⿱{镸去𠫔}一
{镸去𠫔} ⿱一{ㅑ}
{雋下} ⿲丨⿰㇅丨𠃌
