U+21F8D 𡾍 ⿱山⿻丨⿱⿰⿱人日⿱人日{木去十}
U+21FE6 𡿦 ⿲⿱丿丶⿱丿丶⿱丿丶 ⿱{横三撇}{横三点}
U+222E6 𢋦 ⿸广⿱{%土1}从{%土2}{%囗1}{人丨人}{%囗2}
U+22397 𢎗 ⿱{コ}㇉
U+2239C 𢎜 ⿱⿰一丨{一下㇉}
U+223A3 𢎣 ⿱丿⿻弓丨
U+226C0 𢛀 ⿵⿰⿸{Γ}{コ}⿹𠃌匚心
U+2290F 𢤏 ⿳⿻⿱二ㄇ{丨丨}{⚋}患[GJK] ⿳一⿻卄⿰匚{コ}患[TH]
U+2298D 𢦍 ⿻一{𢦍去一}
U+22990 𢦐 ⿻{反𰀂}{戈去一}
U+22991 𢦑 ⿻一{𢦑去一}
U+22DA2 𢶢 ⿰扌⿱{丿下罒}⿰⿻{𬺻去一}丶{𰀠右}
U+233B3 𣎳 ⿻十儿
U+233DF 𣏟 ⿰⿻十{丿丨}𣎳[GJK] ⿰𣎳𣎳[TH]
U+2386A 𣡪 ⿳{𰀉下冖}𤕦木[THJK] ⿳{𰀉下冖}⿱吅⿰⿱{%コ1}{コ}{%コ2}𠃊𬼆木[G]
U+2386B 𣡫 ⿳木⿻口{覀下}⿰⿳丿𠚍{比左}寸[G] ⿳木⿻口{覀下}⿰⿱𠚍{比左}寸[TH] ⿳木⿻口{覀下}⿰⿱丿鬯寸[JK]
U+23942 𣥂 ⿻丨𰀪
U+2394B 𣥋 ⿳丿⿰{ㅑ}丨𠄟
U+23952 𣥒 ⿱⿹𠃍{卝左}止[THJK] ⿱⿻丅⿰一丨止[G]
U+23D92 𣶒 ⿻{丿丨}⿳⿰𠃎𠃊一⿰𠃍{Γ}
U+24330 𤌰 ⿰火⿱日⿻一半[GJ] ⿰火⿱日⿻一{半G}[THK]
U+244F0 𤓰 ⿸⺁⿰𠄌㇏[GTH] ⿸⺁⿰{丨下㇀}㇏[JK]
U+244F7 𤓷 ⿺爪⿱{コ}⿻ㄣ丶
U+24566 𤕦 ⿱吅⿰⿱{%コ1}工{%コ2}𠃊爻 ⿰⿳口{%コ1}工{%コ2}𠃊⿱口爻
U+2464D 𤙍 ⿰牜⿻⿱凵几丨[THJK] ⿰牜⿻⿱凵{丿乁}丨[G]
U+247B9 𤞹 ⿰犭{𝍫中＃}[JK] ⿰犭{川中＃}[G] ⿰犭⿻{丨亅}{二交〣}[TH]
U+248EA 𤣪 {%二1}𣎳{%二2}
U+24C35 𤰵 ⿱田{%匸1}人{%匸2}
U+268DD 𦣝 {%匚1}{𦣝中}{%匚2}
U+268DE 𦣞 {%匚1}{𦣞中}{%匚2}
U+26952 𦥒 ⿱⿰⿸{丱右}一⿹丩一一 ⿶⿱⿰𠃎𠃊{⚋}凵
U+26956 𦥖 ⿶⿱㇇丨臼
